,2021-12-31,2020-12-31,2019-12-31
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
Operating Expense,5587000.0,2888000.0,1235000.0
Selling General And Administration,2505000.0,393000.0,337000.0
General And Administrative Expense,2505000.0,393000.0,337000.0
Salaries And Wages,1923000.0,309000.0,193000.0
Insurance And Claims,68000.0,14000.0,6000.0
Other Gand A,514000.0,70000.0,138000.0
Research And Development,3082000.0,2495000.0,898000.0
Operating Income,-5587000.0,-2888000.0,-1235000.0
Net Non Operating Interest Income Expense,-1154000.0,60000.0,-5000.0
Interest Income Non Operating,,61000.0,18000.0
Interest Expense Non Operating,,1000.0,5000.0
Total Other Finance Cost,1154000.0,,5000.0
Other Income Expense,2700000.0,,18000.0
Gain On Sale Of Security,2700000.0,,18000.0
Pretax Income,-4041000.0,-2828000.0,-1222000.0
Net Income Common Stockholders,-4041000.0,-2828000.0,-1222000.0
Net Income,-4041000.0,-2828000.0,-1222000.0
Net Income Including Noncontrolling Interests,-4041000.0,-2828000.0,-1222000.0
Net Income Continuous Operations,-4041000.0,-2828000.0,-1222000.0
Diluted NI Availto Com Stockholders,-4041000.0,-2828000.0,-1222000.0
Basic EPS,-0.65,-0.258,-0.111664
Diluted EPS,-0.65,-0.258,-0.111664
Basic Average Shares,6243411.0,10943534.0,10943534.0
Diluted Average Shares,6243411.0,10943534.0,10943534.0
Total Operating Income As Reported,-5587000.0,-2888000.0,-1235000.0
Total Expenses,5587000.0,2888000.0,1235000.0
Net Income From Continuing And Discontinued Operation,-4041000.0,-2828000.0,-1222000.0
Normalized Income,-6741000.0,-2828000.0,-1240000.0
Interest Income,,61000.0,18000.0
Interest Expense,,1000.0,5000.0
Net Interest Income,-1154000.0,60000.0,-5000.0
EBIT,-5587000.0,-2827000.0,-1235000.0
Reconciled Depreciation,3000.0,3000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-4041000.0,-2828000.0,-1222000.0
Total Unusual Items Excluding Goodwill,2700000.0,,18000.0
Total Unusual Items,2700000.0,,18000.0
Normalized EBITDA,-8284000.0,-2824000.0,-1253000.0
Tax Rate For Calcs,0.0,0.0,0.0
Tax Effect Of Unusual Items,0.0,0.0,0.0
